tweet_user_screen_name,tweet_id,tweet_text,tweet_retweet_count,tweet_created,tweet_user_id,tweet_user_followers_count,tweet_user_friends_count,tweet_user_statuses_count,tweet_user_verified,tweet_user_location
Choosi3,1.54705E+18,Whoever invented moving? Fuck you,0,44755.11806,1.37815E+18,17,703,354,FALSE,
CatKoiCalico,1.54705E+18,"@ms_nonchalance Okay see on the one hand you’re right, on the other hand the takedown was for hate speech.
Where th… https://t.co/RDSB5SoM0r",0,44755.11804,1.33663E+18,139,10,561,FALSE,CatKoiCalico.redbubble.com
SCARYLOVEMIN,1.54705E+18,hearing a “girl fuck you” from mars on ft is so funny bc who is it at now,0,44755.11803,1.34847E+18,633,917,47380,FALSE,she/they! 19
Wizardofsol,1.54705E+18,@_out_and_down_ @HenryTheETH i dont think he wants to fuck you,0,44755.11802,1.38527E+18,3516,1011,21005,FALSE,
___SummerB,1.54705E+18,"RT @JermereCaprice: If a nigga really fuck with you he gone love different on his own, you ain’t gotta coach him??",2327,44755.11802,2984142867,3514,2589,16587,FALSE,"Nashville, TN"
madison_huynh,1.54705E+18,Holy fuck is this rlly what I’m sad about get OVER IT WHAT IS WRONG WITH YOU,0,44755.118,1.2534E+18,25,71,2359,FALSE,???·??
your_sin_pie,1.54705E+18,RT @SabineMarlowe: Please don’t have a different set of standards for your lover than you would your circle of friends. If they defend Ben…,1,44755.118,1.31538E+18,16,237,7217,FALSE,"Florida, USA"
animeindulger,1.54705E+18,@BRATFVCK Wait you’re yuri fuck kmn,0,44755.11799,9.00172E+17,587,573,15428,FALSE,17
Kitoslove1,1.54705E+18,@FujiwaraMokou44 it's SO not that deep lol. Why does it bother you so much?  mrekk put 0 effort in that random ass… https://t.co/G5onoK4Gq5,0,44755.11799,1.39568E+18,262,546,2281,FALSE,
Luhvblack,1.54705E+18,"message to belittle anyone reading this that is struggling, but just stating facts. I know this is repetitive but i… https://t.co/ZRgR9GX25b",0,44755.11796,1.0677E+18,231,365,7093,FALSE,"Federal Capital Territory, Nig"
ohmyitsjulianna,1.54705E+18,RT @jmarieezz: fuck this “delivered quietly” feature on imessage im gonna hit notify anyway because im tryna talk to you NOW,35,44755.11796,7.26155E+17,412,872,15979,FALSE,"Georgia, USA"
batarse,1.54705E+18,"Fuck you (Fuck you), fuck you very, very much  ??",0,44755.11795,70307525,611,118,14986,FALSE, 
PsychoVCS,1.54705E+18,@ExplainWattson_ You pop up on my feed all the time so it already felt like I was following you but I finally just… https://t.co/J1xP4465xm,0,44755.11794,1.48788E+18,2,32,50,FALSE,"Tiverton, RI"
itsLalitsahu,1.54705E+18,"RT @JermereCaprice: If a nigga really fuck with you he gone love different on his own, you ain’t gotta coach him??",2327,44755.11794,1.54638E+18,14,4,342,FALSE,"Bihar, India"
sodanipple,1.54705E+18,"RT @biggestjoel: conservatives truly out there like ""so the rights im depriving you aren't even women's rights?? where the fuck is this cou…",15,44755.11792,15014808,571,898,24850,FALSE,auckland i guess lol
ArrowstotheSun,1.54705E+18,ComicsGate can fuck off. Go outside and touch some grass you mouth breathers. https://t.co/kvVifhxEER,0,44755.11789,7.92955E+17,63,1137,2731,FALSE,
JustinDaMota7,1.54705E+18,"its gang warfare muthafuck ... 

gangs gangs gangs .. fuck that shit 

just take me out ...  i'm ready ... who want… https://t.co/b5pIzQ9O5k",0,44755.11787,1.5027E+18,1,32,123,FALSE,
allan1144,1.54705E+18,@awri125 @FiveWoke @Canoe_Hat @wfzv6nbfbv @jamesdifiore @CPC_HQ Fuck that. PP won’t play that game. Good for him. F… https://t.co/xPiixZEz3c,0,44755.11786,278684346,129,370,15154,FALSE,
catzuyu,1.54705E+18,FUCK YOU KLEE,0,44755.11785,1.31358E+18,137,575,10282,FALSE,she/they/zir ????+????
oceanbullock,1.54705E+18,wait just the “fuck you over part” y’all aren’t ignorant or dumb as shit akdjjs,0,44755.11785,1.00337E+18,1523,261,3503,FALSE,she/her  
DennisM8re,1.54705E+18,@Neilobrien663 @jenresisted @ElieNYC More like fuck badly educated inbred maga clowns like you.,0,44755.11785,1.4965E+18,149,310,5606,FALSE,
farasneeze,1.54705E+18,“SEE YOU IN THE NEXT LIFE” THEN WHY IS YOUR STUPID BUM ASS FUCKING TEXTING ME AGAIN. TEXT YOUR FUCKING GIRLFRIEND. HOLY FUCK.,0,44755.11784,1.50687E+18,239,547,13664,FALSE,
scraftea,1.54705E+18,@fuck_pronouns nice attempt at sarcasm. it would be a lot easier to convince anyone that you don't care about opini… https://t.co/ZM61odt1BO,0,44755.11784,1.27561E+18,4,91,166,FALSE,
Jibiki_95,1.54705E+18,"RT @BSDquotes: Dazai: I guess you could say I’ve *fallen* for you [winks]

Chuuya: You literally just rolled down eight flights of stairs,…",8,44755.11784,1557693632,55,269,61900,FALSE,i : upapa_4r3 | ????????????
taytaytaty,1.54705E+18,Bitch I’m attractive can’t fuck with you no more I’m fastin,0,44755.11784,1138154491,1045,1004,11242,FALSE,"Dallas, TX"
yuslyfe,1.54705E+18,"RT @lindyli: A 2-year-old lost BOTH of his parents in the Highland Park massacre

A 10-year-old rape victim was denied an abortion in Repub…",17856,44755.11782,1.45066E+18,8,246,725,FALSE,
beennumberrone,1.54705E+18,RT @Dvni3l_b_: if i send you “??” just know i meant fuck!,8,44755.1178,7.00179E+17,136,139,24501,FALSE,"Culver City, CA"
ConnorWardd,1.54705E+18,"RT @BravesAshland: Braves win, fuck you",15,44755.11778,1.54224E+18,16,50,112,FALSE,
joemomma69420_,1.54705E+18,fuck people who give you something nice and then hold it over you,0,44755.11778,1.50599E+18,20,60,212,FALSE,
xStormblessedx,1.54705E+18,"I hate when people sit at my bar and ask, “Can I get a drink?”

What the fuck exactly do you think I’m doing here?",0,44755.11778,243447751,594,1422,8070,FALSE,Philly to Denver
MegaRIOXX,1.54705E+18,@IrvGott_i @motherlids You see my fuck me eyes ?,0,44755.11778,2248015898,1136,643,12603,FALSE,RIO - HOUSTON
TheRealAndyHere,1.54705E+18,"RT @WholeMarsBlog: Elon: Biden sucks! 

Republicans: HAHA! 

Democrats: Fuck you Elon 

Elon: Also Trump sucks 

Republicans: Fuck you Elon",44,44755.11777,7.71723E+17,87,182,5482,FALSE,
treblazeitup_,1.54705E+18,Fuck being humble I told you that. https://t.co/7ApkJiM82e,0,44755.11777,3309385108,463,195,25273,FALSE,
Thought_AtWork,1.54705E+18,"RT @biggestjoel: conservatives truly out there like ""so the rights im depriving you aren't even women's rights?? where the fuck is this cou…",15,44755.11775,9.28452E+17,1282,1032,55174,FALSE,He/Him/Bi 
MMizzebra,1.54705E+18,"@chessfan420 I mean run me over, fuck my brain short circuited since you reminded of when people think I'm cute and… https://t.co/X0VAhswFfT",0,44755.11775,1.22551E+18,115,452,4597,FALSE,"Baltimore, MD"
oncelerinchief,1.54705E+18,"Okay, fuck it. I lied.
It's drum and base. What you gonna do?",0,44755.11774,1.45555E+18,32,17,20909,FALSE,
dalunwa_,1.54705E+18,TASHA WHAT THE FUCK DO YOU WANT BRO. You’re beginning to piss me off with all this flip flopping,0,44755.11773,1595903028,2209,419,5485,FALSE,
indigo_raven_,1.54705E+18,"RT @jcacton35: Before you go to bed tonight 

fuck off!!!!",11,44755.1177,1.39817E+18,16314,1489,28374,FALSE,
iner_tew,1.54705E+18,"How the fuck you be vets and not want every man, woman, and child to be armed to the teeth so they can protect them… https://t.co/fQH2OvLtQn",0,44755.11769,1.52342E+18,82,100,1475,FALSE,Deep innawoods
BarbellStoner,1.54705E+18,@derpathesherpa Henry get the fuck out. How did you put outer space into the fucking glass ??,0,44755.11766,8.28941E+17,450,499,9882,FALSE,Should be in the ??
yungflyzay,1.54705E+18,texting a nigga “why you don’t fuck with me no more” or anything in the area is so cringe,0,44755.11763,8.65404E+17,432,474,4817,FALSE,
JameeChanel,1.54705E+18,RT @wiilsxxn: I enjoy my personal space these days like we cool but when it’s time to get the fuck away from me you should get the fuck awa…,6,44755.11763,2849865292,2287,1704,73661,FALSE,
starsixty777,1.54705E+18,"RT @zxsmithh: I lowkey respect men who don’t give up when the texts go green though. Send it in an email, DM, letter to my front door. what…",19,44755.11762,1.45786E+18,142,62,3583,FALSE,"Atlanta, GA"
urhoesloveme69,1.54705E+18,RT @etoxico7: If she fuck with you after you hurt her don’t question her loyalty,1971,44755.11757,1.54083E+18,26,128,153,FALSE,"Arizona, USA"
xDevilsMisfitx,1.54705E+18,"@IGotthisope ""I'm glad you don't want to keep secrets opie. Secrets is what kills everything.  The only way to fuck… https://t.co/HExfwgGNdP",0,44755.11757,8.47332E+17,618,1379,776,FALSE,#??????????  ??
jjkooktats,1.54705E+18,"RT @deekaysgf: MINGYU REPLIED TO ME WHAT THR FUCK

SEE YOU DARLING!?!??? https://t.co/JEgvv50C4U",45,44755.11756,1.35261E+18,582,861,11100,FALSE,a simp for kyu
